source_ip,destination_ip,protocol,port,bytes,label,timestamp
192.168.1.1,8.8.4.4,TCP,80,18389,BENIGN,2024-01-02T05:51:13
10.0.0.5,8.8.8.8,ICMP,53,4265,BENIGN,2024-01-01T08:40:44
192.168.1.4,8.8.8.8,ICMP,80,93950,BENIGN,2024-01-07T14:43:32
192.168.1.8,8.8.4.4,TCP,3389,21026,BENIGN,2024-01-06T03:05:43
192.168.1.3,1.1.1.1,UDP,22,12256,BENIGN,2024-01-05T14:39:42
10.0.0.4,8.8.4.4,ICMP,443,5795,BENIGN,2024-01-06T13:49:01
10.0.0.5,9.9.9.9,TCP,8080,38527,BENIGN,2024-01-05T09:20:01
10.0.0.2,8.8.8.8,TCP,25,29971,BENIGN,2024-01-04T12:17:25
10.0.0.4,1.1.1.1,TCP,53,36534,Brute Force,2024-01-06T12:03:55
192.168.1.6,1.1.1.1,UDP,443,27560,BENIGN,2024-01-04T05:45:46
10.0.0.1,8.8.8.8,ICMP,25,22531,DoS-Hulk,2024-01-07T11:34:46
192.168.1.3,9.9.9.9,UDP,443,83986,DoS-Hulk,2024-01-07T18:13:24
192.168.1.6,8.8.8.8,TCP,3389,4307,BENIGN,2024-01-04T19:52:56
192.168.1.2,1.1.1.1,ICMP,25,41345,BENIGN,2024-01-03T13:55:55
192.168.1.7,9.9.9.9,TCP,443,18401,BENIGN,2024-01-03T23:50:07
192.168.1.9,8.8.4.4,ICMP,8080,56255,DoS-Hulk,2024-01-05T20:20:01
192.168.1.3,9.9.9.9,TCP,3389,6275,BENIGN,2024-01-02T07:56:15
192.168.1.3,9.9.9.9,ICMP,22,50532,BENIGN,2024-01-05T15:09:16
192.168.1.8,8.8.4.4,ICMP,3389,1604,BENIGN,2024-01-02T09:21:56
192.168.1.9,8.8.4.4,ICMP,443,14721,BENIGN,2024-01-04T13:29:17
192.168.1.8,8.8.8.8,ICMP,25,34622,BENIGN,2024-01-07T01:48:22
192.168.1.9,8.8.8.8,ICMP,443,83848,DoS-GoldenEye,2024-01-07T03:52:03
192.168.1.3,8.8.4.4,TCP,8080,69614,BENIGN,2024-01-01T00:09:59
192.168.1.8,8.8.8.8,TCP,443,40406,BENIGN,2024-01-03T21:44:43
10.0.0.5,8.8.8.8,TCP,25,63799,BENIGN,2024-01-01T20:09:34
